date,4. close
2020-12-08,3.98
2020-12-07,3.56
2020-12-04,3.51
2020-12-03,3.63
2020-12-02,4.32
2020-12-01,4.15
2020-11-30,4.27
2020-11-27,4.45
2020-11-25,4.49
2020-11-24,4.58
2020-11-23,3.81
2020-11-20,3.35
2020-11-19,3.19
2020-11-18,3.26
2020-11-17,2.98
2020-11-16,3.11
2020-11-13,2.97
2020-11-12,2.94
2020-11-11,3.13
2020-11-10,3.51
2020-11-09,3.77
2020-11-06,2.49
2020-11-05,2.46
2020-11-04,2.31
2020-11-03,2.34
2020-11-02,2.15
2020-10-30,2.36
2020-10-29,2.52
2020-10-28,2.61
2020-10-27,2.79
2020-10-26,2.75
2020-10-23,2.97
2020-10-22,3.12
2020-10-21,3.0
2020-10-20,3.09
2020-10-19,3.54
2020-10-16,3.04
2020-10-15,2.78
2020-10-14,2.96
2020-10-13,3.54
2020-10-12,4.08
2020-10-09,4.05
2020-10-08,4.14
2020-10-07,4.04
2020-10-06,4.06
2020-10-05,4.13
2020-10-02,4.65
2020-10-01,4.65
2020-09-30,4.71
2020-09-29,4.86
2020-09-28,4.91
2020-09-25,4.88
2020-09-24,4.61
2020-09-23,4.78
2020-09-22,5.21
2020-09-21,5.32
2020-09-18,5.67
2020-09-17,5.72
2020-09-16,5.76
2020-09-15,5.52
2020-09-14,5.54
2020-09-11,5.79
2020-09-10,5.94
2020-09-09,6.26
2020-09-08,6.42
2020-09-04,7.02
2020-09-03,6.6
2020-09-02,7.04
2020-09-01,6.07
2020-08-31,5.88
2020-08-28,6.3
2020-08-27,6.52
2020-08-26,5.6
2020-08-25,5.54
2020-08-24,5.41
2020-08-21,5.19
2020-08-20,5.69
2020-08-19,5.39
2020-08-18,5.35
2020-08-17,5.6
2020-08-14,5.54
2020-08-13,5.31
2020-08-12,4.64
2020-08-11,4.56
2020-08-10,4.47
2020-08-07,4.75
2020-08-06,4.14
2020-08-05,4.15
2020-08-04,4.1
2020-08-03,4.11
2020-07-31,4.04
2020-07-30,4.12
2020-07-29,4.16
2020-07-28,4.15
2020-07-27,3.87
2020-07-24,4.0
2020-07-23,4.06
2020-07-22,4.03
2020-07-21,4.15
2020-07-20,4.15
