date,4. close
2020-12-08,8.42
2020-12-07,8.27
2020-12-04,8.49
2020-12-03,8.42
2020-12-02,8.3
2020-12-01,7.65
2020-11-30,8.38
2020-11-27,7.73
2020-11-25,7.01
2020-11-24,6.85
2020-11-23,6.36
2020-11-20,6.13
2020-11-19,6.12
2020-11-18,6.35
2020-11-17,6.07
2020-11-16,5.8
2020-11-13,5.66
2020-11-12,5.43
2020-11-11,5.55
2020-11-10,5.53
2020-11-09,5.54
2020-11-06,5.5
2020-11-05,5.46
2020-11-04,4.97
2020-11-03,4.99
2020-11-02,5.03
2020-10-30,4.5
2020-10-29,4.49
2020-10-28,4.425
2020-10-27,4.68
2020-10-26,4.57
2020-10-23,4.55
2020-10-22,4.68
2020-10-21,4.68
2020-10-20,4.65
2020-10-19,4.68
2020-10-16,4.65
2020-10-15,4.8
2020-10-14,5.88
2020-10-13,6.1
2020-10-12,6.37
2020-10-09,5.75
2020-10-08,5.67
2020-10-07,5.14
2020-10-06,4.91
2020-10-05,5.03
2020-10-02,4.41
2020-10-01,4.4
2020-09-30,4.43
2020-09-29,4.34
2020-09-28,4.31
2020-09-25,4.23
2020-09-24,4.22
2020-09-23,4.44
2020-09-22,4.54
2020-09-21,4.44
2020-09-18,4.68
2020-09-17,4.66
2020-09-16,4.63
2020-09-15,4.64
2020-09-14,4.65
2020-09-11,4.5
2020-09-10,4.63
2020-09-09,4.51
2020-09-08,4.44
2020-09-04,4.59
2020-09-03,4.7
2020-09-02,4.72
2020-09-01,4.78
2020-08-31,4.87
2020-08-28,4.69
2020-08-27,4.57
2020-08-26,4.57
2020-08-25,4.58
2020-08-24,4.55
2020-08-21,4.48
2020-08-20,4.57
2020-08-19,4.63
2020-08-18,4.67
2020-08-17,4.59
2020-08-14,4.49
2020-08-13,4.65
2020-08-12,4.51
2020-08-11,4.45
2020-08-10,4.63
2020-08-07,4.47
2020-08-06,4.66
2020-08-05,4.81
2020-08-04,4.89
2020-08-03,4.91
2020-07-31,4.775
2020-07-30,4.92
2020-07-29,4.85
2020-07-28,6.0
2020-07-27,5.74
2020-07-24,5.11
2020-07-23,5.13
2020-07-22,5.15
2020-07-21,5.23
2020-07-20,5.18
