date,4. close
2020-12-08,23.57
2020-12-07,23.2
2020-12-04,23.45
2020-12-03,22.88
2020-12-02,21.16
2020-12-01,20.15
2020-11-30,19.98
2020-11-27,21.58
2020-11-25,20.65
2020-11-24,20.23
2020-11-23,18.18
2020-11-20,17.37
2020-11-19,18.19
2020-11-18,17.59
2020-11-17,18.05
2020-11-16,17.57
2020-11-13,16.01
2020-11-12,14.93
2020-11-11,16.21
2020-11-10,16.73
2020-11-09,19.25
2020-11-06,13.82
2020-11-05,14.18
2020-11-04,13.34
2020-11-03,13.71
2020-11-02,13.55
2020-10-30,13.71
2020-10-29,12.98
2020-10-28,12.3
2020-10-27,13.76
2020-10-26,14.03
2020-10-23,15.36
2020-10-22,15.19
2020-10-21,14.48
2020-10-20,14.61
2020-10-19,14.15
2020-10-16,14.08
2020-10-15,14.02
2020-10-14,13.97
2020-10-13,14.03
2020-10-12,15.21
2020-10-09,15.69
2020-10-08,15.61
2020-10-07,15.99
2020-10-06,15.19
2020-10-05,14.96
2020-10-02,15.16
2020-10-01,15.03
2020-09-30,15.18
2020-09-29,15.07
2020-09-28,15.31
2020-09-25,15.07
2020-09-24,13.74
2020-09-23,14.13
2020-09-22,14.41
2020-09-21,14.29
2020-09-18,15.31
2020-09-17,16.24
2020-09-16,16.46
2020-09-15,15.93
2020-09-14,17.85
2020-09-11,17.69
2020-09-10,17.88
2020-09-09,17.66
2020-09-08,18.29
2020-09-04,18.53
2020-09-03,17.58
2020-09-02,16.71
2020-09-01,16.51
2020-08-31,16.48
2020-08-28,17.21
2020-08-27,16.12
2020-08-26,15.28
2020-08-25,15.89
2020-08-24,16.14
2020-08-21,14.65
2020-08-20,14.54
2020-08-19,14.6
2020-08-18,14.41
2020-08-17,14.68
2020-08-14,15.47
2020-08-13,15.22
2020-08-12,15.19
2020-08-11,15.82
2020-08-10,15.44
2020-08-07,14.22
2020-08-06,13.78
2020-08-05,14.02
2020-08-04,13.74
2020-08-03,13.07
2020-07-31,13.88
2020-07-30,14.34
2020-07-29,14.65
2020-07-28,14.33
2020-07-27,13.75
2020-07-24,14.8
2020-07-23,14.8
2020-07-22,15.14
2020-07-21,15.19
2020-07-20,15.0
