date,4. close
2020-12-08,8.64
2020-12-07,8.47
2020-12-04,8.63
2020-12-03,8.8
2020-12-02,8.55
2020-12-01,8.32
2020-11-30,8.85
2020-11-27,8.47
2020-11-25,7.97
2020-11-24,8.02
2020-11-23,7.34
2020-11-20,7.22
2020-11-19,7.22
2020-11-18,7.26
2020-11-17,7.36
2020-11-16,7.12
2020-11-13,7.09
2020-11-12,6.91
2020-11-11,7.12
2020-11-10,7.27
2020-11-09,7.23
2020-11-06,7.51
2020-11-05,6.465
2020-11-04,5.54
2020-11-03,6.04
2020-11-02,6.01
2020-10-30,5.29
2020-10-29,5.57
2020-10-28,5.47
2020-10-27,5.58
2020-10-26,5.53
2020-10-23,5.83
2020-10-22,6.07
2020-10-21,5.89
2020-10-20,5.68
2020-10-19,5.75
2020-10-16,5.43
2020-10-15,5.49
2020-10-14,5.62
2020-10-13,5.72
2020-10-12,5.9
2020-10-09,5.74
2020-10-08,5.85
2020-10-07,5.32
2020-10-06,5.04
2020-10-05,5.24
2020-10-02,5.03
2020-10-01,5.0
2020-09-30,5.01
2020-09-29,5.05
2020-09-28,4.96
2020-09-25,5.08
2020-09-24,5.13
2020-09-23,5.05
2020-09-22,5.31
2020-09-21,5.12
2020-09-18,5.29
2020-09-17,5.24
2020-09-16,5.4
2020-09-15,5.39
2020-09-14,5.41
2020-09-11,5.21
2020-09-10,5.29
2020-09-09,5.28
2020-09-08,5.24
2020-09-04,5.39
2020-09-03,5.39
2020-09-02,5.46
2020-09-01,5.45
2020-08-31,5.57
2020-08-28,5.67
2020-08-27,5.42
2020-08-26,5.36
2020-08-25,5.47
2020-08-24,5.49
2020-08-21,5.31
2020-08-20,5.41
2020-08-19,5.44
2020-08-18,5.51
2020-08-17,5.6
2020-08-14,5.63
2020-08-13,5.74
2020-08-12,5.79
2020-08-11,5.55
2020-08-10,5.8
2020-08-07,5.64
2020-08-06,5.87
2020-08-05,6.98
2020-08-04,7.08
2020-08-03,6.79
2020-07-31,6.55
2020-07-30,6.65
2020-07-29,6.75
2020-07-28,7.08
2020-07-27,6.58
2020-07-24,6.31
2020-07-23,6.38
2020-07-22,6.65
2020-07-21,6.71
2020-07-20,6.63
