date,4. close
2020-12-08,73.86
2020-12-07,73.63
2020-12-04,74.5
2020-12-03,72.52
2020-12-02,69.63
2020-12-01,67.54
2020-11-30,67.79
2020-11-27,67.87
2020-11-25,67.63
2020-11-24,68.43
2020-11-23,66.78
2020-11-20,66.39
2020-11-19,66.06
2020-11-18,66.35
2020-11-17,67.14
2020-11-16,73.47
2020-11-13,71.0
2020-11-12,69.39
2020-11-11,69.51
2020-11-10,70.23
2020-11-09,67.53
2020-11-06,64.95
2020-11-05,61.41
2020-11-04,60.37
2020-11-03,59.45
2020-11-02,58.08
2020-10-30,56.09
2020-10-29,55.93
2020-10-28,56.57
2020-10-27,58.15
2020-10-26,59.56
2020-10-23,60.25
2020-10-22,59.48
2020-10-21,59.23
2020-10-20,59.43
2020-10-19,58.78
2020-10-16,59.59
2020-10-15,59.32
2020-10-14,58.51
2020-10-13,59.12
2020-10-12,59.72
2020-10-09,59.4
2020-10-08,60.47
2020-10-07,59.42
2020-10-06,58.23
2020-10-05,58.95
2020-10-02,57.83
2020-10-01,57.84
2020-09-30,58.4
2020-09-29,57.54
2020-09-28,57.94
2020-09-25,57.32
2020-09-24,56.71
2020-09-23,57.4
2020-09-22,58.14
2020-09-21,58.87
2020-09-18,59.57
2020-09-17,58.41
2020-09-16,57.48
2020-09-15,57.0
2020-09-14,57.97
2020-09-11,57.4
2020-09-10,58.0
2020-09-09,59.53
2020-09-08,59.53
2020-09-04,60.24
2020-09-03,60.45
2020-09-02,60.91
2020-09-01,60.28
2020-08-31,62.12
2020-08-28,63.21
2020-08-27,63.39
2020-08-26,62.7
2020-08-25,63.47
2020-08-24,63.87
2020-08-21,63.94
2020-08-20,63.72
2020-08-19,65.28
2020-08-18,65.18
2020-08-17,64.9
2020-08-14,65.67
2020-08-13,64.7
2020-08-12,64.99
2020-08-11,65.26
2020-08-10,65.71
2020-08-07,64.96
2020-08-06,64.12
2020-08-05,64.4
2020-08-04,64.98
2020-08-03,63.86
2020-07-31,62.94
2020-07-30,64.0
2020-07-29,64.22
2020-07-28,63.27
2020-07-27,62.57
2020-07-24,63.34
2020-07-23,63.79
2020-07-22,63.78
2020-07-21,64.52
2020-07-20,63.91
