date,4. close
2020-12-08,42.41
2020-12-07,42.35
2020-12-04,42.36
2020-12-03,42.95
2020-12-02,41.07
2020-12-01,39.96
2020-11-30,40.25
2020-11-27,41.06
2020-11-25,41.29
2020-11-24,41.26
2020-11-23,38.79
2020-11-20,37.13
2020-11-19,37.91
2020-11-18,37.91
2020-11-17,37.6
2020-11-16,38.0
2020-11-13,36.46
2020-11-12,34.38
2020-11-11,35.02
2020-11-10,37.04
2020-11-09,36.77
2020-11-06,31.42
2020-11-05,31.98
2020-11-04,30.43
2020-11-03,30.9
2020-11-02,30.22
2020-10-30,30.64
2020-10-29,30.76
2020-10-28,29.65
2020-10-27,30.71
2020-10-26,31.93
2020-10-23,34.0
2020-10-22,33.72
2020-10-21,31.5
2020-10-20,31.98
2020-10-19,31.5
2020-10-16,31.47
2020-10-15,31.34
2020-10-14,31.76
2020-10-13,31.77
2020-10-12,32.64
2020-10-09,32.81
2020-10-08,32.68
2020-10-07,32.15
2020-10-06,31.06
2020-10-05,32.0
2020-10-02,31.75
2020-10-01,31.1
2020-09-30,30.58
2020-09-29,30.61
2020-09-28,31.34
2020-09-25,29.78
2020-09-24,29.01
2020-09-23,29.56
2020-09-22,30.22
2020-09-21,29.82
2020-09-18,32.84
2020-09-17,33.96
2020-09-16,34.57
2020-09-15,33.51
2020-09-14,32.82
2020-09-11,31.7
2020-09-10,31.79
2020-09-09,31.76
2020-09-08,32.54
2020-09-04,31.77
2020-09-03,31.22
2020-09-02,31.14
2020-09-01,30.71
2020-08-31,30.85
2020-08-28,31.99
2020-08-27,30.82
2020-08-26,29.95
2020-08-25,30.1
2020-08-24,29.8
2020-08-21,27.27
2020-08-20,27.62
2020-08-19,27.67
2020-08-18,27.63
2020-08-17,28.02
2020-08-14,28.95
2020-08-13,28.7
2020-08-12,29.09
2020-08-11,29.64
2020-08-10,29.34
2020-08-07,27.18
2020-08-06,27.08
2020-08-05,26.47
2020-08-04,25.67
2020-08-03,25.2
2020-07-31,24.97
2020-07-30,24.94
2020-07-29,25.72
2020-07-28,25.94
2020-07-27,25.5
2020-07-24,25.96
2020-07-23,26.78
2020-07-22,26.25
2020-07-21,26.43
2020-07-20,26.22
