date,4. close
2020-12-08,49.89
2020-12-07,50.03
2020-12-04,50.97
2020-12-03,50.29
2020-12-02,51.35
2020-12-01,50.52
2020-11-30,50.43
2020-11-27,51.34
2020-11-25,50.45
2020-11-24,50.53
2020-11-23,49.9
2020-11-20,48.99
2020-11-19,49.78
2020-11-18,48.53
2020-11-17,48.33
2020-11-16,48.55
2020-11-13,48.67
2020-11-12,46.59
2020-11-11,47.71
2020-11-10,46.54
2020-11-09,48.32
2020-11-06,50.69
2020-11-05,49.41
2020-11-04,47.82
2020-11-03,48.92
2020-11-02,47.87
2020-10-30,47.63
2020-10-29,49.28
2020-10-28,53.25
2020-10-27,53.55
2020-10-26,53.34
2020-10-23,53.79
2020-10-22,52.29
2020-10-21,52.82
2020-10-20,54.2
2020-10-19,54.32
2020-10-16,55.83
2020-10-15,55.4
2020-10-14,56.46
2020-10-13,57.59
2020-10-12,55.38
2020-10-09,55.45
2020-10-08,52.08
2020-10-07,50.94
2020-10-06,49.66
2020-10-05,51.77
2020-10-02,51.68
2020-10-01,52.38
2020-09-30,52.1
2020-09-29,52.65
2020-09-28,54.04
2020-09-25,52.48
2020-09-24,51.78
2020-09-23,50.68
2020-09-22,50.92
2020-09-21,50.14
2020-09-18,48.61
2020-09-17,48.64
2020-09-16,50.42
2020-09-15,51.78
2020-09-14,52.3
2020-09-11,52.77
2020-09-10,52.32
2020-09-09,53.44
2020-09-08,51.53
2020-09-04,52.54
2020-09-03,53.16
2020-09-02,55.085
2020-09-01,53.65
2020-08-31,54.78
2020-08-28,54.27
2020-08-27,56.31
2020-08-26,58.58
2020-08-25,58.05
2020-08-24,58.78
2020-08-21,58.205
2020-08-20,57.66
2020-08-19,57.71
2020-08-18,57.03
2020-08-17,57.35
2020-08-14,56.29
2020-08-13,56.28
2020-08-12,55.49
2020-08-11,54.29
2020-08-10,54.37
2020-08-07,55.21
2020-08-06,55.08
2020-08-05,56.66
2020-08-04,56.33
2020-08-03,56.57
2020-07-31,55.28
2020-07-30,54.72
2020-07-29,54.53
2020-07-28,56.35
2020-07-27,57.23
2020-07-24,55.12
2020-07-23,55.15
2020-07-22,56.34
2020-07-21,56.59
2020-07-20,58.47
