date,4. close
2020-12-08,6.74
2020-12-07,6.7
2020-12-04,6.93
2020-12-03,6.55
2020-12-02,6.33
2020-12-01,6.17
2020-11-30,6.18
2020-11-27,6.36
2020-11-25,6.49
2020-11-24,6.71
2020-11-23,6.43
2020-11-20,6.08
2020-11-19,6.12
2020-11-18,5.65
2020-11-17,5.63
2020-11-16,5.44
2020-11-13,5.36
2020-11-12,5.3
2020-11-11,5.35
2020-11-10,5.44
2020-11-09,5.6
2020-11-06,5.11
2020-11-05,5.36
2020-11-04,5.35
2020-11-03,5.5
2020-11-02,5.17
2020-10-30,5.15
2020-10-29,5.29
2020-10-28,5.27
2020-10-27,5.65
2020-10-26,6.18
2020-10-23,6.3
2020-10-22,6.25
2020-10-21,5.83
2020-10-20,5.92
2020-10-19,5.88
2020-10-16,6.02
2020-10-15,6.29
2020-10-14,6.29
2020-10-13,6.13
2020-10-12,6.05
2020-10-09,5.89
2020-10-08,5.92
2020-10-07,5.49
2020-10-06,5.39
2020-10-05,5.52
2020-10-02,5.43
2020-10-01,5.42
2020-09-30,5.42
2020-09-29,5.6
2020-09-28,5.55
2020-09-25,5.49
2020-09-24,5.52
2020-09-23,5.56
2020-09-22,5.82
2020-09-21,5.9
2020-09-18,6.0
2020-09-17,6.04
2020-09-16,6.08
2020-09-15,5.84
2020-09-14,5.92
2020-09-11,5.86
2020-09-10,5.96
2020-09-09,6.06
2020-09-08,6.05
2020-09-04,6.25
2020-09-03,6.22
2020-09-02,6.3
2020-09-01,6.29
2020-08-31,6.42
2020-08-28,6.6
2020-08-27,6.53
2020-08-26,6.46
2020-08-25,6.57
2020-08-24,6.61
2020-08-21,6.65
2020-08-20,6.65
2020-08-19,6.52
2020-08-18,6.49
2020-08-17,6.59
2020-08-14,6.62
2020-08-13,6.55
2020-08-12,6.55
2020-08-11,6.53
2020-08-10,6.51
2020-08-07,6.43
2020-08-06,6.63
2020-08-05,7.15
2020-08-04,6.91
2020-08-03,6.74
2020-07-31,6.55
2020-07-30,6.52
2020-07-29,6.67
2020-07-28,6.24
2020-07-27,6.38
2020-07-24,6.65
2020-07-23,6.62
2020-07-22,6.59
2020-07-21,6.74
2020-07-20,6.48
