date,4. close
2020-12-08,3.75
2020-12-07,3.83
2020-12-04,3.57
2020-12-03,3.59
2020-12-02,3.71
2020-12-01,3.67
2020-11-30,3.41
2020-11-27,3.42
2020-11-25,3.34
2020-11-24,3.26
2020-11-23,3.23
2020-11-20,3.46
2020-11-19,3.3
2020-11-18,3.4
2020-11-17,3.56
2020-11-16,3.64
2020-11-13,3.7
2020-11-12,3.66
2020-11-11,3.57
2020-11-10,3.64
2020-11-09,3.79
2020-11-06,4.16
2020-11-05,4.02
2020-11-04,3.28
2020-11-03,3.41
2020-11-02,3.32
2020-10-30,3.18
2020-10-29,3.15
2020-10-28,3.07
2020-10-27,3.45
2020-10-26,3.41
2020-10-23,3.54
2020-10-22,3.55
2020-10-21,3.62
2020-10-20,3.53
2020-10-19,3.37
2020-10-16,3.45
2020-10-15,3.59
2020-10-14,3.69
2020-10-13,3.6
2020-10-12,3.64
2020-10-09,3.62
2020-10-08,3.42
2020-10-07,3.35
2020-10-06,3.29
2020-10-05,3.47
2020-10-02,3.39
2020-10-01,3.56
2020-09-30,3.51
2020-09-29,3.59
2020-09-28,3.46
2020-09-25,3.41
2020-09-24,3.44
2020-09-23,3.22
2020-09-22,3.66
2020-09-21,3.72
2020-09-18,4.11
2020-09-17,4.28
2020-09-16,4.29
2020-09-15,4.23
2020-09-14,4.24
2020-09-11,4.06
2020-09-10,4.12
2020-09-09,4.17
2020-09-08,4.01
2020-09-04,4.09
2020-09-03,4.05
2020-09-02,4.02
2020-09-01,4.11
2020-08-31,4.16
2020-08-28,4.1
2020-08-27,3.77
2020-08-26,3.8
2020-08-25,3.65
2020-08-24,3.59
2020-08-21,3.65
2020-08-20,3.86
2020-08-19,3.76
2020-08-18,3.92
2020-08-17,4.01
2020-08-14,3.9
2020-08-13,3.93
2020-08-12,3.76
2020-08-11,3.67
2020-08-10,4.06
2020-08-07,4.1
2020-08-06,4.22
2020-08-05,4.34
2020-08-04,4.62
2020-08-03,4.29
2020-07-31,4.32
2020-07-30,4.13
2020-07-29,4.36
2020-07-28,4.5
2020-07-27,4.48
2020-07-24,4.2
2020-07-23,4.04
2020-07-22,4.18
2020-07-21,3.68
2020-07-20,3.3
