date,4. close
2020-12-08,6.84
2020-12-07,6.83
2020-12-04,6.64
2020-12-03,6.69
2020-12-02,6.82
2020-12-01,6.74
2020-11-30,6.33
2020-11-27,6.28
2020-11-25,6.23
2020-11-24,6.07
2020-11-23,6.15
2020-11-20,6.43
2020-11-19,6.32
2020-11-18,6.37
2020-11-17,6.63
2020-11-16,6.84
2020-11-13,7.12
2020-11-12,7.41
2020-11-11,7.18
2020-11-10,7.24
2020-11-09,7.51
2020-11-06,8.05
2020-11-05,7.78
2020-11-04,6.81
2020-11-03,7.14
2020-11-02,6.91
2020-10-30,6.62
2020-10-29,6.53
2020-10-28,6.37
2020-10-27,7.23
2020-10-26,7.02
2020-10-23,7.16
2020-10-22,7.04
2020-10-21,7.37
2020-10-20,7.01
2020-10-19,6.76
2020-10-16,6.88
2020-10-15,7.12
2020-10-14,7.2
2020-10-13,6.85
2020-10-12,6.94
2020-10-09,7.0
2020-10-08,6.42
2020-10-07,6.25
2020-10-06,6.17
2020-10-05,6.57
2020-10-02,6.37
2020-10-01,6.5
2020-09-30,6.36
2020-09-29,6.48
2020-09-28,6.35
2020-09-25,6.24
2020-09-24,6.38
2020-09-23,6.11
2020-09-22,7.02
2020-09-21,7.03
2020-09-18,7.6
2020-09-17,7.79
2020-09-16,7.77
2020-09-15,7.58
2020-09-14,7.5
2020-09-11,6.92
2020-09-10,7.14
2020-09-09,7.08
2020-09-08,6.73
2020-09-04,6.93
2020-09-03,7.02
2020-09-02,7.04
2020-09-01,7.2
2020-08-31,7.27
2020-08-28,7.11
2020-08-27,6.55
2020-08-26,6.6
2020-08-25,6.29
2020-08-24,6.13
2020-08-21,6.27
2020-08-20,6.54
2020-08-19,6.37
2020-08-18,6.52
2020-08-17,6.66
2020-08-14,6.38
2020-08-13,6.39
2020-08-12,6.06
2020-08-11,5.97
2020-08-10,6.72
2020-08-07,6.66
2020-08-06,6.93
2020-08-05,7.05
2020-08-04,7.0
2020-08-03,6.65
2020-07-31,6.72
2020-07-30,6.49
2020-07-29,6.9
2020-07-28,7.0
2020-07-27,7.24
2020-07-24,6.53
2020-07-23,6.41
2020-07-22,6.74
2020-07-21,6.37
2020-07-20,5.85
