date,4. close
2020-12-08,8.75
2020-12-07,8.7
2020-12-04,8.32
2020-12-03,8.12
2020-12-02,7.79
2020-12-01,7.46
2020-11-30,6.99
2020-11-27,7.16
2020-11-25,6.85
2020-11-24,6.74
2020-11-23,6.65
2020-11-20,6.76
2020-11-19,6.91
2020-11-18,8.0
2020-11-17,7.94
2020-11-16,7.34
2020-11-13,7.14
2020-11-12,6.775
2020-11-11,7.0
2020-11-10,6.75
2020-11-09,6.935
2020-11-06,7.66
2020-11-05,6.62
2020-11-04,6.2
2020-11-03,6.0
2020-11-02,5.85
2020-10-30,5.94
2020-10-29,6.11
2020-10-28,6.08
2020-10-27,6.41
2020-10-26,6.43
2020-10-23,6.825
2020-10-22,6.63
2020-10-21,6.55
2020-10-20,6.72
2020-10-19,6.585
2020-10-16,6.805
2020-10-15,7.02
2020-10-14,6.925
2020-10-13,6.91
2020-10-12,6.8
2020-10-09,6.18
2020-10-08,6.21
2020-10-07,6.41
2020-10-06,4.96
2020-10-05,4.69
2020-10-02,4.56
2020-10-01,4.62
2020-09-30,4.53
2020-09-29,4.62
2020-09-28,4.47
2020-09-25,4.31
2020-09-24,4.13
2020-09-23,4.1
2020-09-22,4.15
2020-09-21,4.09
2020-09-18,4.02
2020-09-17,4.02
2020-09-16,4.03
2020-09-15,3.89
2020-09-14,3.85
2020-09-11,3.75
2020-09-10,3.79
2020-09-09,4.0
2020-09-08,3.91
2020-09-04,4.11
2020-09-03,4.16
2020-09-02,4.42
2020-09-01,4.565
2020-08-31,4.59
2020-08-28,4.75
2020-08-27,4.65
2020-08-26,4.69
2020-08-25,4.64
2020-08-24,4.75
2020-08-21,4.8
2020-08-20,4.87
2020-08-19,4.95
2020-08-18,4.93
2020-08-17,4.88
2020-08-14,4.83
2020-08-13,4.87
2020-08-12,4.77
2020-08-11,4.61
2020-08-10,4.79
2020-08-07,4.94
2020-08-06,5.56
2020-08-05,5.595
2020-08-04,5.45
2020-08-03,5.59
2020-07-31,5.29
2020-07-30,5.18
2020-07-29,5.22
2020-07-28,5.13
2020-07-27,5.285
2020-07-24,5.05
2020-07-23,5.16
2020-07-22,5.195
2020-07-21,5.11
2020-07-20,4.925
