date,4. close
2020-12-08,11.95
2020-12-07,12.17
2020-12-04,12.6
2020-12-03,12.52
2020-12-02,11.97
2020-12-01,12.42
2020-11-30,12.22
2020-11-27,12.26
2020-11-25,10.39
2020-11-24,10.15
2020-11-23,10.38
2020-11-20,10.54
2020-11-19,11.02
2020-11-18,11.04
2020-11-17,11.7
2020-11-16,12.85
2020-11-13,11.22
2020-11-12,11.36
2020-11-11,10.72
2020-11-10,11.51
2020-11-09,8.5
2020-11-06,10.53
2020-11-05,10.8
2020-11-04,10.91
2020-11-03,10.22
2020-11-02,10.02
2020-10-30,9.85
2020-10-29,10.49
2020-10-28,10.92
2020-10-27,11.11
2020-10-26,10.45
2020-10-23,10.95
2020-10-22,11.24
2020-10-21,10.5
2020-10-20,11.0
2020-10-19,11.35
2020-10-16,11.85
2020-10-15,12.21
2020-10-14,12.13
2020-10-13,12.82
2020-10-12,12.43
2020-10-09,12.31
2020-10-08,12.48
2020-10-07,12.58
2020-10-06,12.41
2020-10-05,11.94
2020-10-02,11.65
2020-10-01,11.74
2020-09-30,11.6
2020-09-29,11.31
2020-09-28,12.14
2020-09-25,16.94
2020-09-24,15.37
2020-09-23,15.97
2020-09-22,16.98
2020-09-21,17.69
2020-09-18,17.0
2020-09-17,15.67
2020-09-16,18.52
2020-09-15,13.63
2020-09-14,11.32
2020-09-11,10.08
2020-09-10,9.72
2020-09-09,10.275
2020-09-08,9.61
2020-09-04,9.57
2020-09-03,9.85
2020-09-02,10.63
2020-09-01,11.41
2020-08-31,11.99
2020-08-28,12.06
2020-08-27,11.81
2020-08-26,12.73
2020-08-25,12.62
2020-08-24,12.24
2020-08-21,14.1
2020-08-20,14.86
2020-08-19,14.47
2020-08-18,14.185
2020-08-17,15.04
2020-08-14,14.785
2020-08-13,14.39
2020-08-12,13.75
2020-08-11,14.62
2020-08-10,18.99
2020-08-07,20.22
2020-08-06,20.33
2020-08-05,21.79
2020-08-04,20.315
2020-08-03,20.69
2020-07-31,19.44
2020-07-30,20.73
2020-07-29,19.48
2020-07-28,20.79
2020-07-27,21.08
2020-07-24,21.91
2020-07-23,24.58
2020-07-22,26.19
2020-07-21,27.05
2020-07-20,25.37
