date,4. close
2020-12-08,50.69
2020-12-07,50.2
2020-12-04,51.985
2020-12-03,50.99
2020-12-02,49.9
2020-12-01,49.56
2020-11-30,48.35
2020-11-27,47.45
2020-11-25,47.05
2020-11-24,47.01
2020-11-23,46.06
2020-11-20,45.39
2020-11-19,45.62
2020-11-18,45.06
2020-11-17,45.53
2020-11-16,46.19
2020-11-13,45.46
2020-11-12,44.95
2020-11-11,46.35
2020-11-10,45.44
2020-11-09,45.6
2020-11-06,45.39
2020-11-05,45.68
2020-11-04,45.7
2020-11-03,44.85
2020-11-02,44.46
2020-10-30,44.28
2020-10-29,44.11
2020-10-28,44.25
2020-10-27,45.64
2020-10-26,46.72
2020-10-23,48.2
2020-10-22,53.9
2020-10-21,53.5
2020-10-20,53.43
2020-10-19,54.58
2020-10-16,54.16
2020-10-15,53.85
2020-10-14,53.55
2020-10-13,53.83
2020-10-12,53.88
2020-10-09,52.82
2020-10-08,53.37
2020-10-07,52.67
2020-10-06,51.37
2020-10-05,51.69
2020-10-02,51.01
2020-10-01,52.24
2020-09-30,51.78
2020-09-29,51.19
2020-09-28,51.43
2020-09-25,49.94
2020-09-24,49.16
2020-09-23,48.82
2020-09-22,49.95
2020-09-21,49.72
2020-09-18,49.89
2020-09-17,50.32
2020-09-16,50.37
2020-09-15,50.0
2020-09-14,49.41
2020-09-11,49.28
2020-09-10,48.96
2020-09-09,49.62
2020-09-08,48.91
2020-09-04,50.08
2020-09-03,50.39
2020-09-02,52.25
2020-09-01,50.79
2020-08-31,50.95
2020-08-28,50.43
2020-08-27,49.4
2020-08-26,49.55
2020-08-25,49.43
2020-08-24,49.14
2020-08-21,49.28
2020-08-20,49.17
2020-08-19,48.33
2020-08-18,48.65
2020-08-17,48.93
2020-08-14,48.89
2020-08-13,48.56
2020-08-12,49.19
2020-08-11,48.19
2020-08-10,49.22
2020-08-07,48.03
2020-08-06,48.57
2020-08-05,48.92
2020-08-04,49.13
2020-08-03,48.3
2020-07-31,47.73
2020-07-30,47.99
2020-07-29,48.07
2020-07-28,49.24
2020-07-27,49.57
2020-07-24,50.59
2020-07-23,60.4
2020-07-22,61.05
2020-07-21,60.7
2020-07-20,61.15
