date,4. close
2020-12-08,47.28
2020-12-07,47.89
2020-12-04,47.59
2020-12-03,47.82
2020-12-02,47.44
2020-12-01,47.27
2020-11-30,46.34
2020-11-27,47.73
2020-11-25,48.27
2020-11-24,48.25
2020-11-23,46.81
2020-11-20,45.54
2020-11-19,46.08
2020-11-18,45.6
2020-11-17,45.66
2020-11-16,45.58
2020-11-13,43.88
2020-11-12,41.92
2020-11-11,43.22
2020-11-10,44.81
2020-11-09,43.89
2020-11-06,40.01
2020-11-05,41.05
2020-11-04,38.93
2020-11-03,38.85
2020-11-02,38.4
2020-10-30,39.53
2020-10-29,39.57
2020-10-28,38.14
2020-10-27,39.93
2020-10-26,41.1
2020-10-23,42.79
2020-10-22,41.93
2020-10-21,39.84
2020-10-20,40.16
2020-10-19,39.85
2020-10-16,39.68
2020-10-15,38.8
2020-10-14,39.25
2020-10-13,39.13
2020-10-12,39.19
2020-10-09,39.73
2020-10-08,38.99
2020-10-07,38.59
2020-10-06,37.58
2020-10-05,38.49
2020-10-02,38.76
2020-10-01,37.93
2020-09-30,37.5
2020-09-29,37.61
2020-09-28,38.24
2020-09-25,37.1
2020-09-24,36.86
2020-09-23,37.55
2020-09-22,38.12
2020-09-21,37.52
2020-09-18,39.83
2020-09-17,40.4
2020-09-16,42.1
2020-09-15,40.61
2020-09-14,40.06
2020-09-11,38.95
2020-09-10,38.94
2020-09-09,39.22
2020-09-08,40.5
2020-09-04,39.39
2020-09-03,38.74
2020-09-02,39.17
2020-09-01,37.91
2020-08-31,37.58
2020-08-28,38.81
2020-08-27,37.65
2020-08-26,36.38
2020-08-25,37.06
2020-08-24,36.91
2020-08-21,34.69
2020-08-20,34.46
2020-08-19,34.27
2020-08-18,34.16
2020-08-17,33.81
2020-08-14,34.9
2020-08-13,34.71
2020-08-12,35.25
2020-08-11,35.29
2020-08-10,34.99
2020-08-07,33.28
2020-08-06,33.02
2020-08-05,32.72
2020-08-04,31.4
2020-08-03,31.58
2020-07-31,30.89
2020-07-30,30.96
2020-07-29,31.79
2020-07-28,32.29
2020-07-27,31.53
2020-07-24,31.66
2020-07-23,32.79
2020-07-22,33.3
2020-07-21,33.62
2020-07-20,32.98
