date,4. close
2020-12-08,9.56
2020-12-07,9.5
2020-12-04,9.75
2020-12-03,9.64
2020-12-02,9.5
2020-12-01,9.37
2020-11-30,9.26
2020-11-27,9.66
2020-11-25,9.71
2020-11-24,9.84
2020-11-23,9.76
2020-11-20,9.48
2020-11-19,8.62
2020-11-18,8.49
2020-11-17,8.62
2020-11-16,8.63
2020-11-13,8.33
2020-11-12,8.0
2020-11-11,8.22
2020-11-10,8.39
2020-11-09,8.21
2020-11-06,7.79
2020-11-05,7.98
2020-11-04,7.85
2020-11-03,8.0
2020-11-02,7.96
2020-10-30,7.5
2020-10-29,7.59
2020-10-28,7.4
2020-10-27,7.73
2020-10-26,7.92
2020-10-23,8.73
2020-10-22,8.47
2020-10-21,8.21
2020-10-20,8.43
2020-10-19,8.05
2020-10-16,8.15
2020-10-15,8.2
2020-10-14,8.21
2020-10-13,8.25
2020-10-12,8.38
2020-10-09,8.29
2020-10-08,8.42
2020-10-07,8.19
2020-10-06,8.18
2020-10-05,8.34
2020-10-02,8.18
2020-10-01,8.12
2020-09-30,7.95
2020-09-29,7.89
2020-09-28,8.19
2020-09-25,7.91
2020-09-24,7.59
2020-09-23,7.46
2020-09-22,7.69
2020-09-21,7.71
2020-09-18,8.11
2020-09-17,8.18
2020-09-16,8.12
2020-09-15,7.91
2020-09-14,7.96
2020-09-11,7.27
2020-09-10,7.33
2020-09-09,7.46
2020-09-08,7.46
2020-09-04,7.49
2020-09-03,7.55
2020-09-02,7.7
2020-09-01,7.65
2020-08-31,7.74
2020-08-28,7.9
2020-08-27,7.82
2020-08-26,7.74
2020-08-25,7.92
2020-08-24,8.01
2020-08-21,7.75
2020-08-20,7.86
2020-08-19,7.72
2020-08-18,7.9
2020-08-17,8.05
2020-08-14,8.17
2020-08-13,7.96
2020-08-12,8.17
2020-08-11,8.36
2020-08-10,8.39
2020-08-07,8.06
2020-08-06,7.99
2020-08-05,7.96
2020-08-04,7.79
2020-08-03,7.84
2020-07-31,7.93
2020-07-30,8.07
2020-07-29,8.15
2020-07-28,7.94
2020-07-27,7.77
2020-07-24,7.61
2020-07-23,7.8
2020-07-22,7.99
2020-07-21,7.89
2020-07-20,7.57
