date,4. close
2020-12-08,1.46
2020-12-07,1.46
2020-12-04,1.45
2020-12-03,1.5
2020-12-02,1.4
2020-12-01,1.28
2020-11-30,1.41
2020-11-27,1.33
2020-11-25,1.22
2020-11-24,1.22
2020-11-23,1.12
2020-11-20,1.12
2020-11-19,1.12
2020-11-18,1.13
2020-11-17,1.18
2020-11-16,1.13
2020-11-13,1.13
2020-11-12,1.15
2020-11-11,1.23
2020-11-10,1.23
2020-11-09,1.6
2020-11-06,1.65
2020-11-05,1.4
2020-11-04,1.24
2020-11-03,1.34
2020-11-02,1.32
2020-10-30,1.2
2020-10-29,1.22
2020-10-28,1.19
2020-10-27,1.22
2020-10-26,1.22
2020-10-23,1.26
2020-10-22,1.25
2020-10-21,1.24
2020-10-20,1.22
2020-10-19,1.25
2020-10-16,1.18
2020-10-15,1.19
2020-10-14,1.2
2020-10-13,1.27
2020-10-12,1.24
2020-10-09,1.21
2020-10-08,1.26
2020-10-07,1.13
2020-10-06,1.06
2020-10-05,1.07
2020-10-02,1.03
2020-10-01,1.05
2020-09-30,1.05
2020-09-29,1.05
2020-09-28,1.01
2020-09-25,1.05
2020-09-24,1.08
2020-09-23,1.11
2020-09-22,1.19
2020-09-21,1.19
2020-09-18,1.14
2020-09-17,1.13
2020-09-16,1.16
2020-09-15,1.075
2020-09-14,1.07
2020-09-11,1.06
2020-09-10,1.13
2020-09-09,1.09
2020-09-08,1.12
2020-09-04,1.15
2020-09-03,1.15
2020-09-02,1.18
2020-09-01,1.23
2020-08-31,1.26
2020-08-28,1.28
2020-08-27,1.26
2020-08-26,1.27
2020-08-25,1.29
2020-08-24,1.28
2020-08-21,1.29
2020-08-20,1.33
2020-08-19,1.37
2020-08-18,1.46
2020-08-17,1.45
2020-08-14,1.47
2020-08-13,1.39
2020-08-12,1.35
2020-08-11,1.33
2020-08-10,1.34
2020-08-07,1.27
2020-08-06,1.25
2020-08-05,1.31
2020-08-04,1.3
2020-08-03,1.28
2020-07-31,1.23
2020-07-30,1.28
2020-07-29,1.31
2020-07-28,1.36
2020-07-27,1.33
2020-07-24,1.34
2020-07-23,1.32
2020-07-22,1.37
2020-07-21,1.38
2020-07-20,1.52
