date,4. close
2020-12-08,118.25
2020-12-07,116.63
2020-12-04,114.45
2020-12-03,116.2
2020-12-02,113.18
2020-12-01,112.03
2020-11-30,116.35
2020-11-27,108.98
2020-11-25,106.94
2020-11-24,105.42
2020-11-23,112.05
2020-11-20,110.9
2020-11-19,105.26
2020-11-18,104.49
2020-11-17,102.49
2020-11-16,101.9
2020-11-13,100.79
2020-11-12,108.72
2020-11-11,106.21
2020-11-10,105.21
2020-11-09,100.01
2020-11-06,125.46
2020-11-05,126.63
2020-11-04,118.6
2020-11-03,111.7
2020-11-02,113.44
2020-10-30,110.21
2020-10-29,115.91
2020-10-28,122.12
2020-10-27,121.15
2020-10-26,118.1
2020-10-23,122.53
2020-10-22,120.8
2020-10-21,124.3
2020-10-20,131.93
2020-10-19,133.01
2020-10-16,131.33
2020-10-15,136.43
2020-10-14,131.44
2020-10-13,130.97
2020-10-12,127.3
2020-10-09,123.02
2020-10-08,115.0
2020-10-07,116.96
2020-10-06,111.31
2020-10-05,110.74
2020-10-02,107.51
2020-10-01,105.2
2020-09-30,99.24
2020-09-29,100.47
2020-09-28,96.91
2020-09-25,97.73
2020-09-24,88.56
2020-09-23,95.23
2020-09-22,94.39
2020-09-21,94.8
2020-09-18,89.7
2020-09-17,85.2
2020-09-16,82.59
2020-09-15,85.45
2020-09-14,82.01
2020-09-11,84.04
2020-09-10,87.75
2020-09-09,91.17
2020-09-08,85.6
2020-09-04,80.63
2020-09-03,82.28
2020-09-02,91.06
2020-09-01,83.67
2020-08-31,76.67
2020-08-28,75.96
2020-08-27,70.3
2020-08-26,67.3
2020-08-25,66.45
2020-08-24,66.87
2020-08-21,69.35
2020-08-20,68.72
2020-08-19,67.59
2020-08-18,69.82
2020-08-17,65.26
2020-08-14,64.34
2020-08-13,65.71
2020-08-12,64.36
2020-08-11,64.96
2020-08-10,67.12
2020-08-07,68.3
2020-08-06,69.72
2020-08-05,71.21
2020-08-04,70.01
2020-08-03,72.68
2020-07-31,68.22
2020-07-30,65.28
2020-07-29,66.65
2020-07-28,64.11
2020-07-27,63.68
2020-07-24,61.82
2020-07-23,62.31
2020-07-22,64.14
2020-07-21,62.88
2020-07-20,64.71
