date,4. close
2020-12-08,8.29
2020-12-07,8.21
2020-12-04,8.6
2020-12-03,9.07
2020-12-02,8.64
2020-12-01,8.07
2020-11-30,9.04
2020-11-27,8.5
2020-11-25,7.47
2020-11-24,7.83
2020-11-23,6.68
2020-11-20,7.36
2020-11-19,6.73
2020-11-18,7.13
2020-11-17,7.21
2020-11-16,7.32
2020-11-13,7.65
2020-11-12,7.4
2020-11-11,8.04
2020-11-10,8.33
2020-11-09,10.1
2020-11-06,9.63
2020-11-05,7.82
2020-11-04,6.0
2020-11-03,6.62
2020-11-02,6.66
2020-10-30,5.71
2020-10-29,5.97
2020-10-28,5.65
2020-10-27,5.59
2020-10-26,5.86
2020-10-23,6.73
2020-10-22,6.83
2020-10-21,6.445
2020-10-20,6.26
2020-10-19,6.48
2020-10-16,5.56
2020-10-15,5.57
2020-10-14,5.98
2020-10-13,5.93
2020-10-12,6.3
2020-10-09,6.04
2020-10-08,6.15
2020-10-07,5.2
2020-10-06,4.9
2020-10-05,5.4
2020-10-02,4.82
2020-10-01,4.92
2020-09-30,4.85
2020-09-29,4.83
2020-09-28,4.82
2020-09-25,4.79
2020-09-24,4.75
2020-09-23,4.7
2020-09-22,5.365
2020-09-21,5.0
2020-09-18,5.34
2020-09-17,5.43
2020-09-16,5.64
2020-09-15,5.29
2020-09-14,5.31
2020-09-11,5.31
2020-09-10,5.63
2020-09-09,5.65
2020-09-08,5.66
2020-09-04,5.92
2020-09-03,6.06
2020-09-02,6.41
2020-09-01,6.45
2020-08-31,6.71
2020-08-28,6.59
2020-08-27,6.44
2020-08-26,6.49
2020-08-25,6.62
2020-08-24,6.74
2020-08-21,6.64
2020-08-20,6.9
2020-08-19,7.04
2020-08-18,6.98
2020-08-17,7.06
2020-08-14,7.25
2020-08-13,7.05
2020-08-12,6.9
2020-08-11,6.93
2020-08-10,7.97
2020-08-07,7.46
2020-08-06,7.76
2020-08-05,8.11
2020-08-04,8.7
2020-08-03,7.43
2020-07-31,7.38
2020-07-30,7.53
2020-07-29,7.53
2020-07-28,8.12
2020-07-27,7.37
2020-07-24,7.12
2020-07-23,7.35
2020-07-22,7.25
2020-07-21,7.4
2020-07-20,7.13
