date,4. close
2020-12-08,34.17
2020-12-07,35.46
2020-12-04,33.13
2020-12-03,33.24
2020-12-02,33.65
2020-12-01,35.36
2020-11-30,35.86
2020-11-27,37.43
2020-11-25,38.08
2020-11-24,37.12
2020-11-23,37.22
2020-11-20,36.48
2020-11-19,36.71
2020-11-18,35.77
2020-11-17,35.56
2020-11-16,33.56
2020-11-13,36.23
2020-11-12,35.49
2020-11-11,40.8
2020-11-10,38.29
2020-11-09,38.2
2020-11-06,42.91
2020-11-05,42.26
2020-11-04,40.79
2020-11-03,39.81
2020-11-02,38.71
2020-10-30,41.1
2020-10-29,40.36
2020-10-28,42.33
2020-10-27,43.1
2020-10-26,42.53
2020-10-23,46.1
2020-10-22,45.09
2020-10-21,45.2
2020-10-20,49.86
2020-10-19,49.36
2020-10-16,48.39
2020-10-15,48.82
2020-10-14,48.98
2020-10-13,47.3
2020-10-12,47.07
2020-10-09,49.52
2020-10-08,49.65
2020-10-07,50.91
2020-10-06,49.1
2020-10-05,51.1
2020-10-02,50.51
2020-10-01,51.45
2020-09-30,51.78
2020-09-29,51.96
2020-09-28,50.87
2020-09-25,49.53
2020-09-24,49.11
2020-09-23,51.73
2020-09-22,53.26
2020-09-21,46.43
2020-09-18,46.69
2020-09-17,48.5
2020-09-16,50.39
2020-09-15,53.07
2020-09-14,50.96
2020-09-11,51.22
2020-09-10,56.31
2020-09-09,57.2
2020-09-08,56.23
2020-09-04,58.04
2020-09-03,60.48
2020-09-02,68.87
2020-09-01,73.87
2020-08-31,68.63
2020-08-28,65.01
2020-08-27,66.14
2020-08-26,65.66
2020-08-25,65.36
2020-08-24,65.72
2020-08-21,62.13
2020-08-20,59.86
2020-08-19,60.73
2020-08-18,59.88
2020-08-17,58.32
2020-08-14,58.45
2020-08-13,56.37
2020-08-12,69.01
2020-08-11,64.76
2020-08-10,64.0
2020-08-07,63.97
2020-08-06,67.51
2020-08-05,63.35
2020-08-04,59.41
2020-08-03,59.42
2020-07-31,59.19
2020-07-30,56.22
2020-07-29,55.0
2020-07-28,50.28
2020-07-27,50.65
2020-07-24,49.0
2020-07-23,50.22
2020-07-22,49.02
2020-07-21,48.71
2020-07-20,49.67
