date,4. close
2020-12-08,28.82
2020-12-07,28.38
2020-12-04,28.59
2020-12-03,28.63
2020-12-02,28.18
2020-12-01,26.65
2020-11-30,28.8
2020-11-27,29.0
2020-11-25,26.87
2020-11-24,26.97
2020-11-23,24.72
2020-11-20,23.72
2020-11-19,23.87
2020-11-18,23.67
2020-11-17,24.51
2020-11-16,24.77
2020-11-13,24.43
2020-11-12,23.81
2020-11-11,24.25
2020-11-10,23.71
2020-11-09,24.58
2020-11-06,23.5
2020-11-05,21.2
2020-11-04,19.0
2020-11-03,20.46
2020-11-02,20.93
2020-10-30,18.78
2020-10-29,18.78
2020-10-28,18.34
2020-10-27,18.66
2020-10-26,18.53
2020-10-23,19.73
2020-10-22,20.3
2020-10-21,19.49
2020-10-20,18.88
2020-10-19,19.81
2020-10-16,17.76
2020-10-15,18.05
2020-10-14,18.34
2020-10-13,18.7
2020-10-12,19.61
2020-10-09,18.07
2020-10-08,17.63
2020-10-07,15.53
2020-10-06,14.32
2020-10-05,14.94
2020-10-02,14.05
2020-10-01,14.2
2020-09-30,14.32
2020-09-29,14.5
2020-09-28,14.21
2020-09-25,14.17
2020-09-24,14.27
2020-09-23,14.6
2020-09-22,16.04
2020-09-21,15.74
2020-09-18,16.36
2020-09-17,16.4
2020-09-16,16.48
2020-09-15,16.42
2020-09-14,16.42
2020-09-11,16.17
2020-09-10,16.42
2020-09-09,16.36
2020-09-08,15.59
2020-09-04,16.21
2020-09-03,16.44
2020-09-02,16.36
2020-09-01,16.41
2020-08-31,16.52
2020-08-28,16.9
2020-08-27,16.5
2020-08-26,16.5
2020-08-25,16.78
2020-08-24,16.43
2020-08-21,16.02
2020-08-20,16.3
2020-08-19,16.63
2020-08-18,16.92
2020-08-17,16.95
2020-08-14,17.19
2020-08-13,17.32
2020-08-12,17.25
2020-08-11,16.95
2020-08-10,17.93
2020-08-07,16.63
2020-08-06,17.52
2020-08-05,19.21
2020-08-04,19.32
2020-08-03,19.06
2020-07-31,18.28
2020-07-30,18.6
2020-07-29,18.49
2020-07-28,19.48
2020-07-27,16.96
2020-07-24,16.47
2020-07-23,16.69
2020-07-22,17.3
2020-07-21,17.65
2020-07-20,17.69
