date,4. close
2020-12-08,8.78
2020-12-07,7.83
2020-12-04,7.95
2020-12-03,7.38
2020-12-02,7.24
2020-12-01,9.05
2020-11-30,10.2
2020-11-27,9.69
2020-11-25,8.84
2020-11-24,7.67
2020-11-23,8.55
2020-11-20,5.54
2020-11-19,5.36
2020-11-18,5.1
2020-11-17,4.12
2020-11-16,3.745
2020-11-13,2.85
2020-11-12,2.56
2020-11-11,2.69
2020-11-10,2.43
2020-11-09,2.52
2020-11-06,2.39
2020-11-05,2.48
2020-11-04,2.23
2020-11-03,2.32
2020-11-02,2.15
2020-10-30,2.0
2020-10-29,2.16
2020-10-28,2.14
2020-10-27,2.215
2020-10-26,2.25
2020-10-23,2.38
2020-10-22,2.26
2020-10-21,2.18
2020-10-20,2.3
2020-10-19,2.32
2020-10-16,2.33
2020-10-15,2.44
2020-10-14,2.43
2020-10-13,2.48
2020-10-12,2.54
2020-10-09,2.62
2020-10-08,2.38
2020-10-07,2.16
2020-10-06,1.92
2020-10-05,1.89
2020-10-02,2.02
2020-10-01,2.1
2020-09-30,2.14
2020-09-29,2.56
2020-09-28,2.43
2020-09-25,2.29
2020-09-24,2.28
2020-09-23,2.23
2020-09-22,2.47
2020-09-21,2.59
2020-09-18,2.615
2020-09-17,2.46
2020-09-16,2.5
2020-09-15,2.42
2020-09-14,2.26
2020-09-11,2.17
2020-09-10,2.17
2020-09-09,2.63
2020-09-08,2.515
2020-09-04,2.56
2020-09-03,2.43
2020-09-02,2.67
2020-09-01,2.9
2020-08-31,2.84
2020-08-28,2.99
2020-08-27,2.95
2020-08-26,2.94
2020-08-25,2.88
2020-08-24,2.775
2020-08-21,2.92
2020-08-20,2.96
2020-08-19,3.17
2020-08-18,3.06
2020-08-17,2.84
2020-08-14,2.73
2020-08-13,2.83
2020-08-12,2.77
2020-08-11,2.68
2020-08-10,2.87
2020-08-07,2.68
2020-08-06,2.56
2020-08-05,2.56
2020-08-04,2.54
2020-08-03,2.55
2020-07-31,2.23
2020-07-30,2.29
2020-07-29,2.3
2020-07-28,2.41
2020-07-27,2.46
2020-07-24,2.52
2020-07-23,2.64
2020-07-22,2.81
2020-07-21,2.75
2020-07-20,2.82
