date,4. close
2020-12-08,7.21
2020-12-07,7.21
2020-12-04,7.25
2020-12-03,7.23
2020-12-02,7.23
2020-12-01,7.2
2020-11-30,7.18
2020-11-27,7.18
2020-11-25,7.19
2020-11-24,7.17
2020-11-23,7.19
2020-11-20,7.14
2020-11-19,7.14
2020-11-18,7.14
2020-11-17,7.17
2020-11-16,7.16
2020-11-13,7.15
2020-11-12,7.09
2020-11-11,7.13
2020-11-10,7.04
2020-11-09,7.0
2020-11-06,7.04
2020-11-05,7.04
2020-11-04,6.95
2020-11-03,7.04
2020-11-02,7.05
2020-10-30,7.04
2020-10-29,7.02
2020-10-28,7.03
2020-10-27,6.96
2020-10-26,6.97
2020-10-23,6.95
2020-10-22,6.94
2020-10-21,6.96
2020-10-20,6.98
2020-10-19,7.01
2020-10-16,7.08
2020-10-15,6.97
2020-10-14,6.98
2020-10-13,6.94
2020-10-12,6.94
2020-10-09,6.86
2020-10-08,6.87
2020-10-07,6.91
2020-10-06,6.85
2020-10-05,6.89
2020-10-02,6.92
2020-10-01,6.98
2020-09-30,6.96
2020-09-29,6.96
2020-09-28,6.58
2020-09-25,6.53
2020-09-24,6.46
2020-09-23,6.43
2020-09-22,6.42
2020-09-21,6.31
2020-09-18,6.37
2020-09-17,6.43
2020-09-16,6.44
2020-09-15,6.38
2020-09-14,6.37
2020-09-11,6.29
2020-09-10,6.28
2020-09-09,6.35
2020-09-08,6.31
2020-09-04,6.33
2020-09-03,6.33
2020-09-02,6.4
2020-09-01,6.31
2020-08-31,6.36
2020-08-28,6.43
2020-08-27,6.45
2020-08-26,6.45
2020-08-25,6.46
2020-08-24,6.37
2020-08-21,6.35
2020-08-20,6.36
2020-08-19,6.38
2020-08-18,6.37
2020-08-17,6.35
2020-08-14,6.34
2020-08-13,6.34
2020-08-12,6.33
2020-08-11,6.34
2020-08-10,6.37
2020-08-07,6.47
2020-08-06,6.48
2020-08-05,6.41
2020-08-04,6.41
2020-08-03,6.48
2020-07-31,6.54
2020-07-30,6.47
2020-07-29,6.66
2020-07-28,6.78
2020-07-27,6.79
2020-07-24,6.8
2020-07-23,6.87
2020-07-22,6.71
2020-07-21,6.78
2020-07-20,6.72
