date,4. close
2020-12-08,18.13
2020-12-07,16.22
2020-12-04,15.61
2020-12-03,14.49
2020-12-02,13.98
2020-12-01,13.23
2020-11-30,13.2
2020-11-27,13.2
2020-11-25,12.57
2020-11-24,11.17
2020-11-23,10.92
2020-11-20,10.82
2020-11-19,10.93
2020-11-18,10.85
2020-11-17,10.84
2020-11-16,12.95
2020-11-13,11.85
2020-11-12,11.67
2020-11-11,11.93
2020-11-10,12.4
2020-11-09,11.17
2020-11-06,10.55
2020-11-05,10.16
2020-11-04,9.88
2020-11-03,9.92
2020-11-02,9.54
2020-10-30,9.14
2020-10-29,9.16
2020-10-28,9.29
2020-10-27,10.13
2020-10-26,10.33
2020-10-23,9.99
2020-10-22,9.72
2020-10-21,9.54
2020-10-20,9.82
2020-10-19,9.95
2020-10-16,9.87
2020-10-15,10.03
2020-10-14,9.67
2020-10-13,9.74
2020-10-12,9.81
2020-10-09,10.07
2020-10-08,10.28
2020-10-07,10.31
2020-10-06,9.67
2020-10-05,9.74
2020-10-02,9.66
2020-10-01,9.61
2020-09-30,9.49
2020-09-29,9.63
2020-09-28,9.78
2020-09-25,10.0
2020-09-24,10.98
2020-09-23,13.35
2020-09-22,13.52
2020-09-21,13.67
2020-09-18,13.44
2020-09-17,13.21
2020-09-16,12.88
2020-09-15,12.02
2020-09-14,12.13
2020-09-11,11.79
2020-09-10,11.75
2020-09-09,11.94
2020-09-08,11.99
2020-09-04,12.51
2020-09-03,12.94
2020-09-02,13.14
2020-09-01,12.95
2020-08-31,13.02
2020-08-28,13.64
2020-08-27,13.84
2020-08-26,13.64
2020-08-25,13.68
2020-08-24,13.65
2020-08-21,13.75
2020-08-20,13.94
2020-08-19,14.17
2020-08-18,14.69
2020-08-17,14.85
2020-08-14,15.12
2020-08-13,14.65
2020-08-12,14.81
2020-08-11,15.11
2020-08-10,15.63
2020-08-07,15.05
2020-08-06,15.13
2020-08-05,15.57
2020-08-04,15.48
2020-08-03,15.26
2020-07-31,15.16
2020-07-30,15.24
2020-07-29,15.7
2020-07-28,15.55
2020-07-27,15.0
2020-07-24,15.11
2020-07-23,15.57
2020-07-22,15.93
2020-07-21,15.77
2020-07-20,15.64
