date,4. close
2020-12-08,42.24
2020-12-07,40.9
2020-12-04,41.68
2020-12-03,40.21
2020-12-02,39.94
2020-12-01,38.5
2020-11-30,38.13
2020-11-27,40.19
2020-11-25,40.81
2020-11-24,41.98
2020-11-23,39.36
2020-11-20,36.94
2020-11-19,37.4
2020-11-18,37.21
2020-11-17,38.67
2020-11-16,38.16
2020-11-13,36.08
2020-11-12,35.23
2020-11-11,36.48
2020-11-10,36.86
2020-11-09,36.93
2020-11-06,32.78
2020-11-05,33.17
2020-11-04,33.23
2020-11-03,33.41
2020-11-02,33.99
2020-10-30,32.62
2020-10-29,32.97
2020-10-28,31.57
2020-10-27,32.82
2020-10-26,33.35
2020-10-23,34.16
2020-10-22,34.86
2020-10-21,33.16
2020-10-20,33.7
2020-10-19,33.42
2020-10-16,34.1
2020-10-15,34.45
2020-10-14,34.15
2020-10-13,34.22
2020-10-12,34.63
2020-10-09,34.74
2020-10-08,35.26
2020-10-07,33.5
2020-10-06,33.39
2020-10-05,33.74
2020-10-02,32.98
2020-10-01,33.13
2020-09-30,34.33
2020-09-29,34.28
2020-09-28,35.31
2020-09-25,34.64
2020-09-24,34.32
2020-09-23,34.39
2020-09-22,35.53
2020-09-21,36.43
2020-09-18,37.19
2020-09-17,37.8
2020-09-16,37.81
2020-09-15,36.27
2020-09-14,36.66
2020-09-11,36.9
2020-09-10,37.0
2020-09-09,37.95
2020-09-08,38.18
2020-09-04,39.08
2020-09-03,39.11
2020-09-02,39.19
2020-09-01,39.43
2020-08-31,39.94
2020-08-28,40.69
2020-08-27,39.74
2020-08-26,40.01
2020-08-25,40.88
2020-08-24,42.22
2020-08-21,41.01
2020-08-20,41.32
2020-08-19,41.96
2020-08-18,42.43
2020-08-17,42.64
2020-08-14,43.2
2020-08-13,43.01
2020-08-12,44.09
2020-08-11,44.97
2020-08-10,44.51
2020-08-07,43.44
2020-08-06,43.64
2020-08-05,43.85
2020-08-04,43.47
2020-08-03,42.25
2020-07-31,42.08
2020-07-30,41.87
2020-07-29,44.03
2020-07-28,43.55
2020-07-27,44.07
2020-07-24,43.43
2020-07-23,43.7
2020-07-22,43.61
2020-07-21,44.65
2020-07-20,42.5
