Name,Symbol,Bid,Ask,Open,Day Low,Day High,Previous Close,Volume,Fifty Day Average,Two Hundred Day Average,Dividend Rate,Forward PE,Beta,Trailing Annual Dividend Yield,Payout Ratio,Fifty Two Week High,Fifty Two Week Low,Market Cap,Quote Type,Five Year Avg Dividend Yield,Enterprise To Revenue,Forward Eps,Book Value,Enterprise To EBITDA,Enterprise Value,Last Split Factor,Earnings Quarterly Growth
Electronic Arts Inc.,EA,124.96,127,125.49,123.39,126.68,125.26,3162964,137.656,122.58778,,21.159664,0.869565,,0,147.36,85.69,36359540736,EQUITY,,5.472,5.95,26.95,19.17,31668174848,2:1,-0.743
AbbVie Inc.,ABBV,89.92,90.32,89.49,88.86,90.5,89.63,10002368,93.35686,89.3465,4.72,7.4225698,0.716833,0.051433675,0.9847,101.28,62.55,159028822016,EQUITY,4.02,6.618,12.14,8.337,14.332,239754543104,,
"Analog Devices, Inc.",ADI,113.01,115.05,116.04,114.09,116.3,115.49,5849921,117.01086,110.57529,2.48,20.704504,1.288182,0.020781022,0.77589995,127.39,79.08,44126818304,EQUITY,2.2,8.531,5.55,31.903,20.492,47091462144,2:1,0.001
Intuit Inc.,INTU,295.01,303,307.7,296.77,312.925,307.23,2056483,320.67657,284.8215,2.36,31.361547,0.95039,0.0069003673,0.3064,360,187.68,78576140288,EQUITY,0.89,10.295,9.57,19.508,33.329,79055265792,2:1,
Alibaba Group Holding Limited,BABA,271.81,272.3,275.98,270.55,277.27,275.72,11242568,269.34085,226.813,,23.243174,1.56243,,0,299,161.68,738830385152,EQUITY,,,11.72,24.798,,732701917184,,1.216
Shopify Inc.,SHOP,900,902.5,883.99,866.8459,908.37,870.76,2437461,1010.1043,770.9735,,388.0086,1.365663,,0,1146.91,282.08,108253044736,EQUITY,,50.96,2.33,38.544,-2619.125,105998614528,,
The Walt Disney Company,DIS,128.72,128.95,129.5,128.1201,130.79,130.22,9865396,129.54514,114.78493,,48.539623,1.081939,0.0067577944,,153.41,79.07,232442134528,EQUITY,1.44,4.258,2.65,48.023,25.005,297037594624,10000:9865,
Danaher Corporation,DHR-PA,1433.46,1436.93,1444.19,1444.19,1444.19,1445.34,9601,1427.198,1238.3612,47.5,,0.857302,0.00048431513,,1460.62,948.55,132834721792,EQUITY,,54.697,,46.523,221.194,1033063432192,,0.268
"Facebook, Inc.",FB,252.2,252.36,258.405,250.05,259.2,254.82,28130767,269.74142,221.53543,,24.855316,1.255852,,0,304.67,137.1,719412527104,EQUITY,,9.477,10.16,38.753,20.898,712286797824,,0.979
"Activision Blizzard, Inc.",ATVI,79.66,80.68,79.33,78.09,80.64,78.77,8989417,81.96229,72.28722,0.41,23.907463,0.678372,0.0052050273,0.1752,87.73,50.25,61819224064,EQUITY,0.61,8.071,3.35,17.73,23.335,56399863808,2:1,0.768
Medtronic plc,MDT,107.59,108.06,107.24,107.085,109.24,107.81,6236107,102.760574,96.338,2.32,18.64818,0.691192,0.02040627,0.67480004,122.15,72.13,144638066688,EQUITY,2.07,5.609,5.77,37.442,22.79,156656435200,2:1,-0.436
Barrick Gold Corporation,GOLD,29,29.35,29.2965,28.86,29.56,29.14,26962193,29.082,25.377857,0.32,22.076338,0.297238,0.009265615,0.0913,31.22,12.65,51105976320,EQUITY,0.94,5.56,1.31,12.391,11.228,63036526592,2:1,0.84
General Motors Company,GM,31.5,31.59,31.85,31.36,32.05,31.92,15018771,29.088,25.589787,,7.1106095,1.472129,0.035714284,1.0857,38.96,14.33,45079650304,EQUITY,4.36,1.253,4.43,28.074,17.472,145056202752,,
Taiwan Semiconductor Manufacturing Company Limited,TSM,80.31,80.8,82.37,80.11,82.84,81.91,10228835,79.94171,61.18493,1.7,25.714746,0.858072,0.0032108412,0.5305,86.79,42.7,389777424384,EQUITY,,,3.12,9.98,,408766513152,1005:1000,0.81
"Workday, Inc.",WDAY,200.45,199.64,203.87,196.2,205.17,203.19,2307557,199.94514,171.67485,,67.49158,1.556298,,0,248.75,107.75,47506649088,EQUITY,,12.087,2.97,11.969,-1038.25,48285908992,,
"Applied Materials, Inc.",AMAT,55.76,56.3,56.79,55.195,56.8,56.34,11912995,62.283142,56.439716,0.88,12.233115,1.313266,0.015264466,0.2471,69.9,36.64,51280842752,EQUITY,1.46,3.146,4.59,10.478,11.68,51180552192,2:1,0.473
Texas Instruments Incorporated,TXN,138.25,139.79,136.42,137,141.8,140.4,6589392,138.088,122.24021,3.6,25.395605,1.127647,0.024715101,0.65099996,148.37,93.09,127004794880,EQUITY,2.46,9.259,5.46,8.349,20.14,126743257088,2:1,0.057
